?cls	?xref
<http://purl.obolibrary.org/obo/ZFA_0009399>	"CL:0002563"
<http://purl.obolibrary.org/obo/ZFA_0000242>	"TAO:0000242"
<http://purl.obolibrary.org/obo/ZFA_0000242>	"CARO:0000027"
<http://purl.obolibrary.org/obo/ZFA_0005102>	"TAO:0005102"
<http://purl.obolibrary.org/obo/ZFA_0001237>	"TAO:0001237"
<http://purl.obolibrary.org/obo/ZFA_0000700>	"TAO:0000700"
<http://purl.obolibrary.org/obo/ZFA_0000449>	"TAO:0000449"
<http://purl.obolibrary.org/obo/ZFA_0000895>	"TAO:0000895"
<http://purl.obolibrary.org/obo/ZFA_0009260>	"CL:0000570"
<http://purl.obolibrary.org/obo/ZFA_0009260>	"TAO:0009260"
<http://purl.obolibrary.org/obo/ZFA_0005365>	"TAO:0005365"
<http://purl.obolibrary.org/obo/ZFA_0009308>	"TAO:0009308"
<http://purl.obolibrary.org/obo/ZFA_0009308>	"CL:0000731"
<http://purl.obolibrary.org/obo/ZFA_0005084>	"TAO:0005084"
<http://purl.obolibrary.org/obo/ZFA_0001523>	"TAO:0001523"
<http://purl.obolibrary.org/obo/ZFA_0005379>	"TAO:0005379"
<http://purl.obolibrary.org/obo/ZFA_0000570>	"TAO:0000570"
<http://purl.obolibrary.org/obo/ZFA_0005500>	"TAO:0002111"
<http://purl.obolibrary.org/obo/ZFA_0001403>	"TAO:0001403"
<http://purl.obolibrary.org/obo/ZFA_0001097>	"TAO:0001097"
<http://purl.obolibrary.org/obo/ZFA_0001122>	"TAO:0001122"
<http://purl.obolibrary.org/obo/ZFA_0009352>	"TAO:0009352"
<http://purl.obolibrary.org/obo/ZFA_0009352>	"CL:0000834"
<http://purl.obolibrary.org/obo/ZFA_0005250>	"TAO:0005250"
<http://purl.obolibrary.org/obo/ZFA_0000828>	"TAO:0000828"
<http://purl.obolibrary.org/obo/ZFA_0000853>	"TAO:0000853"
<http://purl.obolibrary.org/obo/ZFA_0000680>	"TAO:0000680"
<http://purl.obolibrary.org/obo/ZFA_0009099>	"TAO:0009099"
<http://purl.obolibrary.org/obo/ZFA_0009099>	"CL:0000166"
<http://purl.obolibrary.org/obo/ZFA_0000221>	"TAO:0000221"
<http://purl.obolibrary.org/obo/ZFA_0005533>	"TAO:0002062"
<http://purl.obolibrary.org/obo/ZFA_0001683>	"TAO:0002187"
<http://purl.obolibrary.org/obo/ZFA_0000235>	"TAO:0000235"
<http://purl.obolibrary.org/obo/ZFA_0001426>	"TAO:0001426"
<http://purl.obolibrary.org/obo/ZFA_0000331>	"TAO:0000331"
<http://purl.obolibrary.org/obo/ZFA_0000520>	"TAO:0000520"
<http://purl.obolibrary.org/obo/ZFA_0000345>	"TAO:0000345"
<http://purl.obolibrary.org/obo/ZFA_0001480>	"TAO:0001480"
<http://purl.obolibrary.org/obo/ZFA_0005205>	"TAO:0005205"
<http://purl.obolibrary.org/obo/ZFA_0005185>	"TAO:0005185"
<http://purl.obolibrary.org/obo/ZFS_0000040>	"ZFIN:ZDB-TERM-100331-2470"
<http://purl.obolibrary.org/obo/ZFS_0000040>	"ZFIN:ZDB-STAGE-010723-48"
<http://purl.obolibrary.org/obo/ZFA_0009128>	"TAO:0009128"
<http://purl.obolibrary.org/obo/ZFA_0009128>	"CL:0000211"
<http://purl.obolibrary.org/obo/ZFA_0000756>	"TAO:0000756"
<http://purl.obolibrary.org/obo/ZFS_0000027>	"ZFIN:ZDB-TERM-100331-2457"
<http://purl.obolibrary.org/obo/ZFS_0000027>	"ZFIN:ZDB-STAGE-010723-16"
<http://purl.obolibrary.org/obo/ZFA_0001343>	"TAO:0001343"
<http://purl.obolibrary.org/obo/ZFA_0005199>	"TAO:0005199"
<http://purl.obolibrary.org/obo/ZFA_0001590>	"TAO:0001590"
<http://purl.obolibrary.org/obo/ZFA_0009167>	"TAO:0009167"
<http://purl.obolibrary.org/obo/ZFA_0009167>	"CL:0000336"
<http://purl.obolibrary.org/obo/ZFA_0005468>	"TAO:0001711"
<http://purl.obolibrary.org/obo/ZFA_0009238>	"CL:0000526"
<http://purl.obolibrary.org/obo/ZFA_0009238>	"TAO:0009238"
<http://purl.obolibrary.org/obo/ZFA_0000866>	"TAO:0000866"
<http://purl.obolibrary.org/obo/ZFA_0005070>	"TAO:0005070"
<http://purl.obolibrary.org/obo/ZFA_0000673>	"TAO:0000673"
<http://purl.obolibrary.org/obo/ZFA_0000814>	"TAO:0000814"
<http://purl.obolibrary.org/obo/ZFA_0005108>	"TAO:0005108"
<http://purl.obolibrary.org/obo/ZFA_0000472>	"TAO:0000472"
<http://purl.obolibrary.org/obo/ZFA_0005353>	"TAO:0002150"
<http://purl.obolibrary.org/obo/ZFA_0001246>	"TAO:0001246"
<http://purl.obolibrary.org/obo/ZFA_0000165>	"TAO:0000165"
<http://purl.obolibrary.org/obo/ZFA_0005025>	"TAO:0005025"
<http://purl.obolibrary.org/obo/ZFA_0001356>	"TAO:0001356"
<http://purl.obolibrary.org/obo/ZFA_0000576>	"TAO:0000576"
<http://purl.obolibrary.org/obo/ZFA_0000013>	"TAO:0000013"
<http://purl.obolibrary.org/obo/ZFA_0001458>	"TAO:0001458"
<http://purl.obolibrary.org/obo/ZFA_0000845>	"TAO:0000845"
<http://purl.obolibrary.org/obo/ZFA_0000921>	"TAO:0000921"
