?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZFA_0001468>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior lateral line system"	
<http://purl.obolibrary.org/obo/ZFA_0000931>	<http://www.w3.org/2000/01/rdf-schema#label>	"myotome somite 27"	
<http://purl.obolibrary.org/obo/ZFA_0000270>	<http://www.w3.org/2000/01/rdf-schema#label>	"maxilla"	
<http://purl.obolibrary.org/obo/ZFA_0009073>	<http://www.w3.org/2000/01/rdf-schema#label>	"glial cell"	
<http://purl.obolibrary.org/obo/ZFA_0005374>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal fin distal radial 3"	
<http://purl.obolibrary.org/obo/ZFA_0009144>	<http://www.w3.org/2000/01/rdf-schema#label>	"stratified squamous epithelial cell"	
<http://purl.obolibrary.org/obo/ZFA_0005882>	<http://www.w3.org/2000/01/rdf-schema#label>	"spermatogenic cyst"	
<http://purl.obolibrary.org/obo/ZFA_0005938>	<http://www.w3.org/2000/01/rdf-schema#label>	"inter-organ blood vessel"	
<http://purl.obolibrary.org/obo/ZFA_0001578>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior dorsomedial process of autopalatine"	
<http://purl.obolibrary.org/obo/ZFA_0000133>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural rod"	
<http://purl.obolibrary.org/obo/ZFA_0000380>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral lemniscus nucleus"	
<http://purl.obolibrary.org/obo/ZFA_0007035>	<http://www.w3.org/2000/01/rdf-schema#label>	"spinal cord neural rod"	
<http://purl.obolibrary.org/obo/ZFA_0005660>	<http://www.w3.org/2000/01/rdf-schema#label>	"intestinal mucosa"	
<http://purl.obolibrary.org/obo/ZFA_0000798>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle pioneer somite 30"	
<http://purl.obolibrary.org/obo/ZFA_0005731>	<http://www.w3.org/2000/01/rdf-schema#label>	"branchiomotor neuron"	
<http://purl.obolibrary.org/obo/ZFA_0000416>	<http://www.w3.org/2000/01/rdf-schema#label>	"presumptive endoderm"	
