?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0005545>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005161>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0009141>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001159>
<http://purl.obolibrary.org/obo/ZFA_0000848>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001021>
<http://purl.obolibrary.org/obo/ZFA_0000919>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000028>
<http://purl.obolibrary.org/obo/ZFA_0001536>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001231>
<http://purl.obolibrary.org/obo/ZFA_0001177>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000075>
<http://purl.obolibrary.org/obo/ZFA_0001082>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000077>
<http://purl.obolibrary.org/obo/ZFA_0007058>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000012>
<http://purl.obolibrary.org/obo/ZFA_0009243>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000122>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000016>
<http://purl.obolibrary.org/obo/ZFA_0005020>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000099>
<http://purl.obolibrary.org/obo/ZFA_0001387>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001184>
<http://purl.obolibrary.org/obo/ZFA_0009300>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000494>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0000191>	<http://purl.obolibrary.org/obo/RO_0002131>	<http://purl.obolibrary.org/obo/ZFA_0005488>
